Date,Price,Open,High,Low,Amount,Return
2017/4/12,"1,212.50","1,220.70","1,225.50","1,207.40",44.78,-0.00670000 
2017/4/13,"1,176.20","1,212.50","1,218.70","1,150.30",66.05,-0.03000000 
2017/4/14,"1,177.30","1,176.20","1,195.40","1,162.20",47.22,0.00100000 
2017/4/15,"1,177.00","1,177.30","1,194.80",841.5,28.39,-0.00030000 
2017/4/16,"1,176.80","1,177.00","1,188.00","1,166.70",18.93,-0.00020000 
2017/4/17,"1,194.00","1,176.80","1,203.00","1,172.80",46.48,0.01460000 
2017/4/18,"1,206.10","1,194.00","1,213.90","1,191.10",52.75,0.01010000 
2017/4/19,"1,215.20","1,206.10","1,218.20","1,194.10",43.35,0.00760000 
2017/4/20,"1,238.10","1,215.20","1,246.60","1,210.70",55.2,0.01880000 
2017/4/21,"1,249.60","1,238.10","1,257.00","1,235.60",41.34,0.00930000 
2017/4/22,"1,240.90","1,249.60","1,257.00","1,215.80",43.82,-0.00700000 
2017/4/23,"1,249.10","1,240.90","1,256.20","1,223.10",42.61,0.00660000 
2017/4/24,"1,248.20","1,249.10","1,256.40","1,234.90",38.54,-0.00080000 
2017/4/25,"1,264.30","1,248.20","1,272.60","1,244.20",43.89,0.01290000 
2017/4/26,"1,286.60","1,264.30","1,309.20","1,263.00",58.91,0.01770000 
2017/4/27,"1,332.90","1,286.60","1,346.80","1,285.30",61.77,0.03600000 
2017/4/28,"1,329.60","1,332.90","1,356.20","1,287.60",77.57,-0.00250000 
2017/4/29,"1,336.30","1,329.60","1,343.70","1,314.20",40.97,0.00500000 
2017/4/30,"1,351.90","1,336.30","1,358.90","1,309.70",40.64,0.01170000 
2017/5/1,"1,415.80","1,351.90","1,448.70","1,342.80",100.44,0.04730000 
2017/5/2,"1,445.90","1,415.80","1,471.10","1,394.80",70.01,0.02130000 
2017/5/3,"1,485.60","1,445.90","1,496.40","1,424.10",81.72,0.02740000 
2017/5/4,"1,516.80","1,485.60","1,609.80","1,437.10",136.71,0.02100000 
2017/5/5,"1,507.80","1,516.80","1,588.10","1,485.00",120.38,-0.00590000 
2017/5/6,"1,545.30","1,507.80","1,560.40","1,503.90",59.6,0.02490000 
2017/5/7,"1,554.40","1,545.30","1,572.90","1,495.20",71.36,0.00590000 
2017/5/8,"1,664.50","1,554.40","1,667.70","1,552.90",107.23,0.07080000 
2017/5/9,"1,697.50","1,664.50","1,757.40","1,620.00",127.23,0.01980000 
2017/5/10,"1,752.30","1,697.50","1,766.20","1,665.00",89.68,0.03230000 
2017/5/11,"1,819.30","1,752.30","1,864.80","1,741.50",109.01,0.03820000 
2017/5/12,"1,686.40","1,819.30","1,822.50","1,641.20",109.34,-0.07310000 
2017/5/13,"1,763.70","1,686.40","1,770.50","1,594.60",75.47,0.04590000 
2017/5/14,"1,772.60","1,763.70","1,802.80","1,736.10",40.64,0.00500000 
2017/5/15,"1,708.90","1,772.60","1,776.70","1,656.80",80.24,-0.03590000 
2017/5/16,"1,729.30","1,708.90","1,752.60","1,653.70",75.54,0.01190000 
2017/5/17,"1,801.30","1,729.30","1,842.80","1,704.00",94.62,0.04160000 
2017/5/18,"1,881.00","1,801.30","1,980.50","1,791.10",73.1,0.04420000 
2017/5/19,"1,962.00","1,881.00","1,969.70","1,875.30",98.76,0.04310000 
2017/5/20,"2,040.20","1,962.00","2,048.40","1,944.40",89.86,0.03980000 
2017/5/21,"2,044.20","2,040.20","2,094.90","1,980.10",78.78,0.00200000 
2017/5/22,"2,124.40","2,044.20","2,264.80","1,998.60",174.38,0.03920000 
2017/5/23,"2,272.60","2,124.40","2,286.30","2,110.80",114.18,0.06970000 
2017/5/24,"2,445.30","2,272.60","2,497.00","2,263.30",149.26,0.07600000 
2017/5/25,"2,307.20","2,445.30","2,781.80","2,210.50",248.44,-0.05650000 
2017/5/26,"2,244.90","2,307.00","2,616.50","2,051.40",191.49,-0.02700000 
2017/5/27,"2,052.40","2,244.90","2,322.40","1,868.60",222.95,-0.08570000 
2017/5/28,"2,189.00","2,052.40","2,300.50","2,051.10",125,0.06660000 
2017/5/29,"2,278.20","2,189.00","2,337.40","2,117.30",92.24,0.04070000 
2017/5/30,"2,192.60","2,278.20","2,329.30","2,147.10",120.96,-0.03760000 
2017/5/31,"2,303.30","2,192.60","2,330.60","2,168.40",117.75,0.05050000 
2017/6/1,"2,412.60","2,303.30","2,460.80","2,303.30",122.7,0.04750000 
2017/6/2,"2,492.60","2,412.60","2,494.00","2,385.60",83.03,0.03310000 
2017/6/3,"2,545.40","2,492.60","2,582.80","2,449.90",70.96,0.02120000 
2017/6/4,"2,524.10","2,545.40","2,559.80","2,478.20",59.48,-0.00840000 
2017/6/5,"2,705.00","2,524.10","2,705.40","2,523.90",86.69,0.07170000 
2017/6/6,"2,870.50","2,705.00","2,931.20","2,699.70",192.23,0.06120000 
2017/6/7,"2,691.50","2,870.50","2,880.90","2,626.60",122.68,-0.06240000 
2017/6/8,"2,798.80","2,691.50","2,808.40","2,623.60",95.42,0.03990000 
2017/6/9,"2,811.40","2,798.80","2,852.10","2,786.10",67.05,0.00450000 
2017/6/10,"2,900.30","2,811.40","2,914.20","2,807.40",86.52,0.03160000 
2017/6/11,"2,973.40","2,900.30","2,977.90","2,867.30",83.03,0.02520000 
2017/6/12,"2,656.80","2,973.40","2,985.10","2,483.60",217.96,-0.10650000 
2017/6/13,"2,713.00","2,656.80","2,784.80","2,647.40",116.74,0.02120000 
2017/6/14,"2,467.30","2,713.00","2,803.70","2,349.00",174.19,-0.09060000 
2017/6/15,"2,442.50","2,467.30","2,521.60","2,125.60",262.79,-0.01010000 
2017/6/16,"2,508.60","2,442.50","2,536.40","2,335.30",117.21,0.02710000 
2017/6/17,"2,655.10","2,508.60","2,690.70","2,454.80",95.95,0.05840000 
2017/6/18,"2,539.60","2,655.10","2,676.00","2,488.60",92,-0.04350000 
2017/6/19,"2,616.80","2,539.60","2,617.80","2,518.80",81.83,0.03040000 
2017/6/20,"2,754.40","2,616.80","2,800.50","2,614.00",111.3,0.05260000 
2017/6/21,"2,677.60","2,754.40","2,804.40","2,624.40",116.03,-0.02790000 
2017/6/22,"2,722.80","2,677.60","2,757.30","2,623.20",78.3,0.01690000 
2017/6/23,"2,710.40","2,722.80","2,759.70","2,699.50",56.94,-0.00460000 
2017/6/24,"2,590.10","2,710.40","2,741.60","2,540.40",86.96,-0.04440000 
2017/6/25,"2,541.60","2,590.10","2,660.70","2,472.40",86.97,-0.01870000 
2017/6/26,"2,446.10","2,541.60","2,584.80","2,327.30",165.83,-0.03760000 
2017/6/27,"2,583.80","2,446.10","2,585.10","2,309.60",159.26,0.05630000 
2017/6/28,"2,577.70","2,583.80","2,616.90","2,490.10",110.42,-0.00230000 
2017/6/29,"2,558.40","2,577.70","2,605.90","2,526.50",75.32,-0.00750000 
2017/6/30,"2,480.60","2,558.40","2,576.30","2,469.50",73,-0.03040000 
2017/7/1,"2,424.60","2,480.60","2,529.60","2,387.50",66.32,-0.02260000 
2017/7/2,"2,536.50","2,424.60","2,555.30","2,375.90",67.76,0.04610000 
2017/7/3,"2,572.50","2,536.50","2,617.50","2,506.30",83.42,0.01420000 
2017/7/4,"2,617.30","2,572.50","2,658.70","2,570.00",80.68,0.01740000 
2017/7/5,"2,627.90","2,617.30","2,642.70","2,562.00",89.72,0.00400000 
2017/7/6,"2,614.20","2,627.90","2,634.80","2,581.80",60.16,-0.00520000 
2017/7/7,"2,513.90","2,614.20","2,617.50","2,484.70",90.45,-0.03840000 
2017/7/8,"2,564.90","2,513.90","2,568.70","2,480.60",54.51,0.02030000 
2017/7/9,"2,511.40","2,564.90","2,576.70","2,509.60",39.16,-0.02080000 
2017/7/10,"2,344.00","2,511.40","2,530.30","2,271.80",123.8,-0.06670000 
2017/7/11,"2,324.30","2,344.00","2,412.80","2,265.50",146.63,-0.00840000 
2017/7/12,"2,403.10","2,324.30","2,424.80","2,262.10",109.52,0.03390000 
2017/7/13,"2,362.40","2,403.10","2,436.70","2,335.00",88.17,-0.01690000 
2017/7/14,"2,234.20","2,362.40","2,370.50","2,165.40",114.41,-0.05430000 
2017/7/15,"1,975.10","2,234.20","2,237.10","1,974.00",155.32,-0.11600000 
2017/7/16,"1,914.10","1,975.10","2,044.40","1,809.00",189.64,-0.03090000 
2017/7/17,"2,233.40","1,914.10","2,233.80","1,913.80",176.89,0.16680000 
2017/7/18,"2,320.20","2,233.40","2,400.70","2,164.60",202.62,0.03890000 
2017/7/19,"2,282.60","2,320.20","2,412.40","2,243.10",154.32,-0.01620000 
2017/7/20,"2,866.00","2,282.60","2,932.80","2,282.10",310.34,0.25560000 
2017/7/21,"2,675.10","2,866.00","2,874.00","2,622.50",193.76,-0.06660000 
2017/7/22,"2,836.50","2,675.10","2,876.70","2,658.60",121.92,0.06040000 
2017/7/23,"2,756.60","2,836.50","2,856.70","2,675.60",108.23,-0.02820000 
2017/7/24,"2,763.40","2,756.60","2,798.90","2,715.70",83.01,0.00250000 
2017/7/25,"2,582.60","2,763.40","2,779.10","2,472.60",205.88,-0.06540000 
2017/7/26,"2,559.20","2,582.60","2,631.70","2,441.50",135.5,-0.00900000 
2017/7/27,"2,691.90","2,559.20","2,712.90","2,547.70",103.83,0.05180000 
2017/7/28,"2,806.80","2,691.90","2,843.80","2,683.60",138.91,0.04270000 
2017/7/29,"2,733.50","2,806.80","2,812.10","2,699.40",84.49,-0.02610000 
2017/7/30,"2,766.50","2,733.50","2,773.10","2,621.70",82.72,0.01210000 
2017/7/31,"2,883.30","2,766.50","2,916.30","2,723.10",91.12,0.04220000 
2017/8/1,"2,747.00","2,883.30","2,946.00","2,659.60",123.17,-0.04730000 
2017/8/2,"2,720.50","2,747.00","2,773.80","2,668.90",81.82,-0.00960000 
2017/8/3,"2,810.00","2,720.50","2,822.90","2,717.60",68.1,0.03290000 
2017/8/4,"2,878.50","2,810.00","2,892.70","2,779.50",68.76,0.02440000 
2017/8/5,"3,262.80","2,878.50","3,344.00","2,875.90",159.4,0.13350000 
2017/8/6,"3,232.00","3,262.80","3,295.10","3,166.50",60.66,-0.00940000 
2017/8/7,"3,401.90","3,232.00","3,425.10","3,198.50",88.11,0.05260000 
2017/8/8,"3,429.40","3,401.90","3,494.90","3,357.10",106.94,0.00810000 
2017/8/9,"3,348.80","3,429.40","3,437.10","3,251.00",97.06,-0.02350000 
2017/8/10,"3,425.70","3,348.80","3,453.80","3,322.90",71,0.02300000 
2017/8/11,"3,654.40","3,425.70","3,706.50","3,409.80",97.56,0.06680000 
2017/8/12,"3,871.60","3,654.40","3,967.30","3,611.40",123.59,0.05940000 
2017/8/13,"4,062.60","3,871.60","4,189.40","3,847.30",158.59,0.04930000 
2017/8/14,"4,327.90","4,062.60","4,336.70","3,978.90",128.46,0.06530000 
2017/8/15,"4,161.70","4,327.90","4,436.50","3,837.10",211.58,-0.03840000 
2017/8/16,"4,387.40","4,161.70","4,398.10","3,938.60",112.9,0.05420000 
2017/8/17,"4,278.90","4,387.40","4,487.50","4,194.10",127.48,-0.02470000 
2017/8/18,"4,105.40","4,278.90","4,362.70","3,978.30",144.4,-0.04060000 
2017/8/19,"4,150.50","4,105.40","4,189.70","3,957.50",113.72,0.01100000 
2017/8/20,"4,066.60","4,150.50","4,182.30","4,034.40",70.16,-0.02020000 
2017/8/21,"4,005.10","4,066.60","4,097.30","3,966.90",90.65,-0.01510000 
2017/8/22,"4,089.70","4,005.10","4,142.70","3,612.20",169.14,0.02110000 
2017/8/23,"4,141.10","4,089.70","4,255.60","4,070.50",96.65,0.01260000 
2017/8/24,"4,318.40","4,141.10","4,364.10","4,111.70",72.36,0.04280000 
2017/8/25,"4,364.40","4,318.40","4,461.70","4,292.60",82.9,0.01070000 
2017/8/26,"4,352.30","4,364.40","4,379.30","4,263.30",46.16,-0.00280000 
2017/8/27,"4,345.80","4,352.30","4,408.20","4,321.10",42.52,-0.00150000 
2017/8/28,"4,390.30","4,345.80","4,403.10","4,195.20",75.49,0.01030000 
